Date,P30:credit/compress,P30:credit/mild,P30:credit/severe,P30:interest_rate/bear_steepen,P30:interest_rate/bull_flatten,P30:liquidity/stress,P90:credit/compress,P90:credit/mild,P90:credit/severe,P90:interest_rate/bear_steepen,P90:interest_rate/bull_flatten,P90:liquidity/stress
2005-08-30,0.091528,0.078404,0.027411,0.032038,0.117273,0.035852,0.250218,0.217251,0.080000,0.093067,0.312174,0.103747
2005-08-31,0.080970,0.089588,0.027411,0.031685,0.118878,0.035324,0.223774,0.245405,0.080000,0.092074,0.315918,0.102273
2005-09-01,0.079484,0.096051,0.027411,0.039361,0.091601,0.047256,0.220000,0.261361,0.080000,0.113497,0.250399,0.135173
2005-09-02,0.079484,0.096032,0.027411,0.038105,0.095180,0.045239,0.220000,0.261315,0.080000,0.110014,0.259224,0.129670
2005-09-06,0.079484,0.091753,0.027411,0.038911,0.092853,0.046530,0.220000,0.250777,0.080000,0.112249,0.253495,0.133194
2005-09-07,0.080876,0.089703,0.027411,0.038345,0.094475,0.045622,0.223534,0.245692,0.080000,0.110679,0.257493,0.130717
2005-09-08,0.081986,0.088367,0.027411,0.038466,0.094123,0.045816,0.226345,0.242365,0.080000,0.111016,0.256625,0.131247
2005-09-09,0.081978,0.088377,0.027411,0.037250,0.097776,0.043882,0.226324,0.242389,0.080000,0.107640,0.265583,0.125953
2005-09-12,0.084264,0.085753,0.027411,0.037381,0.097369,0.044089,0.232088,0.235829,0.080000,0.108004,0.264588,0.126522
2005-09-13,0.082518,0.087742,0.027411,0.037510,0.096972,0.044293,0.227687,0.240806,0.080000,0.108362,0.263617,0.127081
2005-09-14,0.083082,0.087089,0.027411,0.038304,0.094594,0.045557,0.229112,0.239173,0.080000,0.110567,0.257784,0.130539
2005-09-15,0.084235,0.085785,0.027411,0.041965,0.084979,0.051509,0.232017,0.235908,0.080000,0.120685,0.233885,0.146705
2005-09-16,0.084811,0.085149,0.027411,0.039880,0.090200,0.048095,0.233465,0.234312,0.080000,0.114933,0.246927,0.137457
2005-09-19,0.080746,0.089863,0.027411,0.042161,0.084517,0.051835,0.223204,0.246087,0.080000,0.121226,0.232724,0.147584
2005-09-20,0.079484,0.092685,0.027411,0.037999,0.095493,0.045071,0.220000,0.253081,0.080000,0.109721,0.259994,0.129210
2005-09-21,0.079484,0.104437,0.027411,0.036164,0.101290,0.042172,0.220000,0.281729,0.080000,0.104615,0.274131,0.121255
2005-09-22,0.079484,0.109438,0.027411,0.036941,0.098752,0.043393,0.220000,0.293694,0.080000,0.106779,0.267964,0.124612
2005-09-23,0.079484,0.101073,0.027411,0.036426,0.100420,0.042583,0.220000,0.273603,0.080000,0.105345,0.272020,0.122385
2005-09-26,0.079484,0.092467,0.027411,0.036558,0.099987,0.042790,0.220000,0.252541,0.080000,0.105713,0.270968,0.122955
2005-09-27,0.079484,0.093189,0.027411,0.036054,0.101660,0.042000,0.220000,0.254323,0.080000,0.104308,0.275026,0.120782
